Title,Rating,Review,Color,Size,Style
5.0 out of 5 starsValue for money,5,"Great product, got it for the Mrs as a gift and she’s loved it for day1. The hold colour gives it a very unique look and the feel is really nice. Apple got this product right. The battery life is great and doesn’t weight heavy.",Not specified,Not specified,iPhone16 Pro
"1.0 out of 5 starsDon’t do it, go direct",1,"After care service, was sent defective iPhone and after care service was not helpful, it’s not a cheap phone and to get one with battery defect is not good enough I would recommend buying direct from manufacture.The product support is not good, my original review was taken down too, I had to repost again briefly",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsLove it,5,my boyfriend has he wanted an upgrade on the old iPhone this came down very quick came down in great steady packaging. The phone was absolutely perfect and absolutely fine. Love the Culla of the phone. The camera on this phone is amazing as you can hear we are an iPhone family.,Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsWorth the upgrade,5,"Very good phone. The delivery driver had to take a code on delivery to prove it’d actually been given to me which I think is very smart on Amazon’s part. It came well packaged and completely undamaged.It’s a good and fast phone was lots of storage. It’s very easy to set up from another iPhone too (takes about 10 minutes to upload data from the cloud).However, it doesn’t currently have Apple intelligence on it. Apple isn’t releasing that until around December 2024, despite Apple intelligence being the primary selling point (so probably not worth the upgrade if you already have an iPhone 15 but worth it for any below).Overall the design is sleek, the camera is next level and the action button being customisable is a nice touch.Worth the money.",Not specified,Not specified,iPhone16 Pro
Bästa mobilen,5,Supersnabb leverans. Super nöjd. Tackar,Not specified,Not specified,iPhone16 Pro
Amazon always the best,5,"Had to wait almost one month through Apple Store. Went home after visiting the store, “delivery tomorrow” via Amazon (ordered Saturday, received Sunday). What else to say, phone is of course flawless and I just wanted to praise Amazon reliability with pretty much everything.",Not specified,Not specified,iPhone16 Pro
Snabbt enkelt smidigt,5,Vad jag gillade. Beställa ena dagen leverans nästa.,Not specified,Not specified,iPhone16 Pro
Big jump from iphone 11  to this,2,"Its a good device but batteri improvement or boost that they said in presentation, it’s a LIE.  And its decieving .Good camera good screen blabla . Well it has to be. Its an 1200 dollars phone yeah?!2,5 months edit:  screen get scratches quite easily. I didnt  even put together with keys.Edit 2:  screen doesnt responded so i did hard reset and did not work either. Instead of sendikng back to amazon i went apple store, and they sent it to repair Service . Apparently hardware problem .",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsAmazing phone from Apple never disappoints.,5,"This phone is probably one of the greatest from the Apple line. The design is so great and the colour is outstanding the functionality is great and the strong outer casing feels nice in the hands. The battery life is great and lasts for hours on end and best things it’s light weight. The value for money is great because of its features, with the new camera button you can become a professional and take amazing stunning photographs. The 48 megapixel camera shows its potential in all areas and photos come out professional level. The 120 hz display is so good and feels smooth when using. Such an amazing innovation made by Apple this is one of this best phones yet. Really recommended for anyone.",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsiPhone 16 Pro - 256GB.,5,"The iPhone 16 Pro has been a great upgrade option for me, combining a sleek design and built for the new Apple Intelligence features due to be released.The first thing I did notice is the new display - it feels crisp, vibrant. The improved refresh rate makes everything from scrolling to gaming feel incredibly smooth.Performance-wise, the new A18 chip delivers decent speeds, effortlessly handling multitasking and demanding apps - gaming on my iPhone feels a lot smoother and the phone itself just feels a lot faster compared to my old iPhone 13 Pro Max.The battery life has also seen a decent boost, easily lasting a full day even with heavy use - I often have my phone on low power mode, and still runs decently and the battery has lasted way over 24 hours despite using it often.The camera system, always a standout feature for the Pro models, has been further refined.The improved low-light performance is actually insane to be honest, and along with the new AI-enhanced photography tools, it allows for stunning photos and videos in any condition.The new camera button on the iPhone 16 Pro is actually incredibly useful and it can be customised to open various apps - it felt a little weird at first and the button felt in the way, but I got used to it after a day or so.The only downside to be honest, is that the outer black titanium case feels plasticky oddly - I think it feels rather cheap, but I have my phone in a Spigen hybrid case, so it doesn’t bother me that much.This iPhone 16 Pro - comes with the new Apple braided USB-C cable and a sim pin.Unfortunately, and rather disappointingly - Apple has decided to remove the stickers. Sad times.Overall, the iPhone 16 Pro is a powerhouse device that pushes the boundaries of what a smartphone can do - I highly recommend the iPhone 16 Pro!",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsValue for money,5,"Great product, got it for the Mrs as a gift and she’s loved it for day1. The hold colour gives it a very unique look and the feel is really nice. Apple got this product right. The battery life is great and doesn’t weight heavy.",Not specified,Not specified,iPhone16 Pro
"1.0 out of 5 starsDon’t do it, go direct",1,"After care service, was sent defective iPhone and after care service was not helpful, it’s not a cheap phone and to get one with battery defect is not good enough I would recommend buying direct from manufacture.The product support is not good, my original review was taken down too, I had to repost again briefly",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsLove it,5,my boyfriend has he wanted an upgrade on the old iPhone this came down very quick came down in great steady packaging. The phone was absolutely perfect and absolutely fine. Love the Culla of the phone. The camera on this phone is amazing as you can hear we are an iPhone family.,Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsWorth the upgrade,5,"Very good phone. The delivery driver had to take a code on delivery to prove it’d actually been given to me which I think is very smart on Amazon’s part. It came well packaged and completely undamaged.It’s a good and fast phone was lots of storage. It’s very easy to set up from another iPhone too (takes about 10 minutes to upload data from the cloud).However, it doesn’t currently have Apple intelligence on it. Apple isn’t releasing that until around December 2024, despite Apple intelligence being the primary selling point (so probably not worth the upgrade if you already have an iPhone 15 but worth it for any below).Overall the design is sleek, the camera is next level and the action button being customisable is a nice touch.Worth the money.",Not specified,Not specified,iPhone16 Pro
Bästa mobilen,5,Supersnabb leverans. Super nöjd. Tackar,Not specified,Not specified,iPhone16 Pro
Amazon always the best,5,"Had to wait almost one month through Apple Store. Went home after visiting the store, “delivery tomorrow” via Amazon (ordered Saturday, received Sunday). What else to say, phone is of course flawless and I just wanted to praise Amazon reliability with pretty much everything.",Not specified,Not specified,iPhone16 Pro
Snabbt enkelt smidigt,5,Vad jag gillade. Beställa ena dagen leverans nästa.,Not specified,Not specified,iPhone16 Pro
Big jump from iphone 11  to this,2,"Its a good device but batteri improvement or boost that they said in presentation, it’s a LIE.  And its decieving .Good camera good screen blabla . Well it has to be. Its an 1200 dollars phone yeah?!2,5 months edit:  screen get scratches quite easily. I didnt  even put together with keys.Edit 2:  screen doesnt responded so i did hard reset and did not work either. Instead of sendikng back to amazon i went apple store, and they sent it to repair Service . Apparently hardware problem .",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsAmazing phone from Apple never disappoints.,5,"This phone is probably one of the greatest from the Apple line. The design is so great and the colour is outstanding the functionality is great and the strong outer casing feels nice in the hands. The battery life is great and lasts for hours on end and best things it’s light weight. The value for money is great because of its features, with the new camera button you can become a professional and take amazing stunning photographs. The 48 megapixel camera shows its potential in all areas and photos come out professional level. The 120 hz display is so good and feels smooth when using. Such an amazing innovation made by Apple this is one of this best phones yet. Really recommended for anyone.",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsiPhone 16 Pro - 256GB.,5,"The iPhone 16 Pro has been a great upgrade option for me, combining a sleek design and built for the new Apple Intelligence features due to be released.The first thing I did notice is the new display - it feels crisp, vibrant. The improved refresh rate makes everything from scrolling to gaming feel incredibly smooth.Performance-wise, the new A18 chip delivers decent speeds, effortlessly handling multitasking and demanding apps - gaming on my iPhone feels a lot smoother and the phone itself just feels a lot faster compared to my old iPhone 13 Pro Max.The battery life has also seen a decent boost, easily lasting a full day even with heavy use - I often have my phone on low power mode, and still runs decently and the battery has lasted way over 24 hours despite using it often.The camera system, always a standout feature for the Pro models, has been further refined.The improved low-light performance is actually insane to be honest, and along with the new AI-enhanced photography tools, it allows for stunning photos and videos in any condition.The new camera button on the iPhone 16 Pro is actually incredibly useful and it can be customised to open various apps - it felt a little weird at first and the button felt in the way, but I got used to it after a day or so.The only downside to be honest, is that the outer black titanium case feels plasticky oddly - I think it feels rather cheap, but I have my phone in a Spigen hybrid case, so it doesn’t bother me that much.This iPhone 16 Pro - comes with the new Apple braided USB-C cable and a sim pin.Unfortunately, and rather disappointingly - Apple has decided to remove the stickers. Sad times.Overall, the iPhone 16 Pro is a powerhouse device that pushes the boundaries of what a smartphone can do - I highly recommend the iPhone 16 Pro!",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsValue for money,5,"Great product, got it for the Mrs as a gift and she’s loved it for day1. The hold colour gives it a very unique look and the feel is really nice. Apple got this product right. The battery life is great and doesn’t weight heavy.",Not specified,Not specified,iPhone16 Pro
"1.0 out of 5 starsDon’t do it, go direct",1,"After care service, was sent defective iPhone and after care service was not helpful, it’s not a cheap phone and to get one with battery defect is not good enough I would recommend buying direct from manufacture.The product support is not good, my original review was taken down too, I had to repost again briefly",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsLove it,5,my boyfriend has he wanted an upgrade on the old iPhone this came down very quick came down in great steady packaging. The phone was absolutely perfect and absolutely fine. Love the Culla of the phone. The camera on this phone is amazing as you can hear we are an iPhone family.,Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsWorth the upgrade,5,"Very good phone. The delivery driver had to take a code on delivery to prove it’d actually been given to me which I think is very smart on Amazon’s part. It came well packaged and completely undamaged.It’s a good and fast phone was lots of storage. It’s very easy to set up from another iPhone too (takes about 10 minutes to upload data from the cloud).However, it doesn’t currently have Apple intelligence on it. Apple isn’t releasing that until around December 2024, despite Apple intelligence being the primary selling point (so probably not worth the upgrade if you already have an iPhone 15 but worth it for any below).Overall the design is sleek, the camera is next level and the action button being customisable is a nice touch.Worth the money.",Not specified,Not specified,iPhone16 Pro
Bästa mobilen,5,Supersnabb leverans. Super nöjd. Tackar,Not specified,Not specified,iPhone16 Pro
Amazon always the best,5,"Had to wait almost one month through Apple Store. Went home after visiting the store, “delivery tomorrow” via Amazon (ordered Saturday, received Sunday). What else to say, phone is of course flawless and I just wanted to praise Amazon reliability with pretty much everything.",Not specified,Not specified,iPhone16 Pro
Snabbt enkelt smidigt,5,Vad jag gillade. Beställa ena dagen leverans nästa.,Not specified,Not specified,iPhone16 Pro
Big jump from iphone 11  to this,2,"Its a good device but batteri improvement or boost that they said in presentation, it’s a LIE.  And its decieving .Good camera good screen blabla . Well it has to be. Its an 1200 dollars phone yeah?!2,5 months edit:  screen get scratches quite easily. I didnt  even put together with keys.Edit 2:  screen doesnt responded so i did hard reset and did not work either. Instead of sendikng back to amazon i went apple store, and they sent it to repair Service . Apparently hardware problem .",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsAmazing phone from Apple never disappoints.,5,"This phone is probably one of the greatest from the Apple line. The design is so great and the colour is outstanding the functionality is great and the strong outer casing feels nice in the hands. The battery life is great and lasts for hours on end and best things it’s light weight. The value for money is great because of its features, with the new camera button you can become a professional and take amazing stunning photographs. The 48 megapixel camera shows its potential in all areas and photos come out professional level. The 120 hz display is so good and feels smooth when using. Such an amazing innovation made by Apple this is one of this best phones yet. Really recommended for anyone.",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsiPhone 16 Pro - 256GB.,5,"The iPhone 16 Pro has been a great upgrade option for me, combining a sleek design and built for the new Apple Intelligence features due to be released.The first thing I did notice is the new display - it feels crisp, vibrant. The improved refresh rate makes everything from scrolling to gaming feel incredibly smooth.Performance-wise, the new A18 chip delivers decent speeds, effortlessly handling multitasking and demanding apps - gaming on my iPhone feels a lot smoother and the phone itself just feels a lot faster compared to my old iPhone 13 Pro Max.The battery life has also seen a decent boost, easily lasting a full day even with heavy use - I often have my phone on low power mode, and still runs decently and the battery has lasted way over 24 hours despite using it often.The camera system, always a standout feature for the Pro models, has been further refined.The improved low-light performance is actually insane to be honest, and along with the new AI-enhanced photography tools, it allows for stunning photos and videos in any condition.The new camera button on the iPhone 16 Pro is actually incredibly useful and it can be customised to open various apps - it felt a little weird at first and the button felt in the way, but I got used to it after a day or so.The only downside to be honest, is that the outer black titanium case feels plasticky oddly - I think it feels rather cheap, but I have my phone in a Spigen hybrid case, so it doesn’t bother me that much.This iPhone 16 Pro - comes with the new Apple braided USB-C cable and a sim pin.Unfortunately, and rather disappointingly - Apple has decided to remove the stickers. Sad times.Overall, the iPhone 16 Pro is a powerhouse device that pushes the boundaries of what a smartphone can do - I highly recommend the iPhone 16 Pro!",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsValue for money,5,"Great product, got it for the Mrs as a gift and she’s loved it for day1. The hold colour gives it a very unique look and the feel is really nice. Apple got this product right. The battery life is great and doesn’t weight heavy.",Not specified,Not specified,iPhone16 Pro
"1.0 out of 5 starsDon’t do it, go direct",1,"After care service, was sent defective iPhone and after care service was not helpful, it’s not a cheap phone and to get one with battery defect is not good enough I would recommend buying direct from manufacture.The product support is not good, my original review was taken down too, I had to repost again briefly",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsLove it,5,my boyfriend has he wanted an upgrade on the old iPhone this came down very quick came down in great steady packaging. The phone was absolutely perfect and absolutely fine. Love the Culla of the phone. The camera on this phone is amazing as you can hear we are an iPhone family.,Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsWorth the upgrade,5,"Very good phone. The delivery driver had to take a code on delivery to prove it’d actually been given to me which I think is very smart on Amazon’s part. It came well packaged and completely undamaged.It’s a good and fast phone was lots of storage. It’s very easy to set up from another iPhone too (takes about 10 minutes to upload data from the cloud).However, it doesn’t currently have Apple intelligence on it. Apple isn’t releasing that until around December 2024, despite Apple intelligence being the primary selling point (so probably not worth the upgrade if you already have an iPhone 15 but worth it for any below).Overall the design is sleek, the camera is next level and the action button being customisable is a nice touch.Worth the money.",Not specified,Not specified,iPhone16 Pro
Bästa mobilen,5,Supersnabb leverans. Super nöjd. Tackar,Not specified,Not specified,iPhone16 Pro
Amazon always the best,5,"Had to wait almost one month through Apple Store. Went home after visiting the store, “delivery tomorrow” via Amazon (ordered Saturday, received Sunday). What else to say, phone is of course flawless and I just wanted to praise Amazon reliability with pretty much everything.",Not specified,Not specified,iPhone16 Pro
Snabbt enkelt smidigt,5,Vad jag gillade. Beställa ena dagen leverans nästa.,Not specified,Not specified,iPhone16 Pro
Big jump from iphone 11  to this,2,"Its a good device but batteri improvement or boost that they said in presentation, it’s a LIE.  And its decieving .Good camera good screen blabla . Well it has to be. Its an 1200 dollars phone yeah?!2,5 months edit:  screen get scratches quite easily. I didnt  even put together with keys.Edit 2:  screen doesnt responded so i did hard reset and did not work either. Instead of sendikng back to amazon i went apple store, and they sent it to repair Service . Apparently hardware problem .",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsAmazing phone from Apple never disappoints.,5,"This phone is probably one of the greatest from the Apple line. The design is so great and the colour is outstanding the functionality is great and the strong outer casing feels nice in the hands. The battery life is great and lasts for hours on end and best things it’s light weight. The value for money is great because of its features, with the new camera button you can become a professional and take amazing stunning photographs. The 48 megapixel camera shows its potential in all areas and photos come out professional level. The 120 hz display is so good and feels smooth when using. Such an amazing innovation made by Apple this is one of this best phones yet. Really recommended for anyone.",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsiPhone 16 Pro - 256GB.,5,"The iPhone 16 Pro has been a great upgrade option for me, combining a sleek design and built for the new Apple Intelligence features due to be released.The first thing I did notice is the new display - it feels crisp, vibrant. The improved refresh rate makes everything from scrolling to gaming feel incredibly smooth.Performance-wise, the new A18 chip delivers decent speeds, effortlessly handling multitasking and demanding apps - gaming on my iPhone feels a lot smoother and the phone itself just feels a lot faster compared to my old iPhone 13 Pro Max.The battery life has also seen a decent boost, easily lasting a full day even with heavy use - I often have my phone on low power mode, and still runs decently and the battery has lasted way over 24 hours despite using it often.The camera system, always a standout feature for the Pro models, has been further refined.The improved low-light performance is actually insane to be honest, and along with the new AI-enhanced photography tools, it allows for stunning photos and videos in any condition.The new camera button on the iPhone 16 Pro is actually incredibly useful and it can be customised to open various apps - it felt a little weird at first and the button felt in the way, but I got used to it after a day or so.The only downside to be honest, is that the outer black titanium case feels plasticky oddly - I think it feels rather cheap, but I have my phone in a Spigen hybrid case, so it doesn’t bother me that much.This iPhone 16 Pro - comes with the new Apple braided USB-C cable and a sim pin.Unfortunately, and rather disappointingly - Apple has decided to remove the stickers. Sad times.Overall, the iPhone 16 Pro is a powerhouse device that pushes the boundaries of what a smartphone can do - I highly recommend the iPhone 16 Pro!",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsValue for money,5,"Great product, got it for the Mrs as a gift and she’s loved it for day1. The hold colour gives it a very unique look and the feel is really nice. Apple got this product right. The battery life is great and doesn’t weight heavy.",Not specified,Not specified,iPhone16 Pro
"1.0 out of 5 starsDon’t do it, go direct",1,"After care service, was sent defective iPhone and after care service was not helpful, it’s not a cheap phone and to get one with battery defect is not good enough I would recommend buying direct from manufacture.The product support is not good, my original review was taken down too, I had to repost again briefly",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsLove it,5,my boyfriend has he wanted an upgrade on the old iPhone this came down very quick came down in great steady packaging. The phone was absolutely perfect and absolutely fine. Love the Culla of the phone. The camera on this phone is amazing as you can hear we are an iPhone family.,Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsWorth the upgrade,5,"Very good phone. The delivery driver had to take a code on delivery to prove it’d actually been given to me which I think is very smart on Amazon’s part. It came well packaged and completely undamaged.It’s a good and fast phone was lots of storage. It’s very easy to set up from another iPhone too (takes about 10 minutes to upload data from the cloud).However, it doesn’t currently have Apple intelligence on it. Apple isn’t releasing that until around December 2024, despite Apple intelligence being the primary selling point (so probably not worth the upgrade if you already have an iPhone 15 but worth it for any below).Overall the design is sleek, the camera is next level and the action button being customisable is a nice touch.Worth the money.",Not specified,Not specified,iPhone16 Pro
Bästa mobilen,5,Supersnabb leverans. Super nöjd. Tackar,Not specified,Not specified,iPhone16 Pro
Amazon always the best,5,"Had to wait almost one month through Apple Store. Went home after visiting the store, “delivery tomorrow” via Amazon (ordered Saturday, received Sunday). What else to say, phone is of course flawless and I just wanted to praise Amazon reliability with pretty much everything.",Not specified,Not specified,iPhone16 Pro
Snabbt enkelt smidigt,5,Vad jag gillade. Beställa ena dagen leverans nästa.,Not specified,Not specified,iPhone16 Pro
Big jump from iphone 11  to this,2,"Its a good device but batteri improvement or boost that they said in presentation, it’s a LIE.  And its decieving .Good camera good screen blabla . Well it has to be. Its an 1200 dollars phone yeah?!2,5 months edit:  screen get scratches quite easily. I didnt  even put together with keys.Edit 2:  screen doesnt responded so i did hard reset and did not work either. Instead of sendikng back to amazon i went apple store, and they sent it to repair Service . Apparently hardware problem .",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsAmazing phone from Apple never disappoints.,5,"This phone is probably one of the greatest from the Apple line. The design is so great and the colour is outstanding the functionality is great and the strong outer casing feels nice in the hands. The battery life is great and lasts for hours on end and best things it’s light weight. The value for money is great because of its features, with the new camera button you can become a professional and take amazing stunning photographs. The 48 megapixel camera shows its potential in all areas and photos come out professional level. The 120 hz display is so good and feels smooth when using. Such an amazing innovation made by Apple this is one of this best phones yet. Really recommended for anyone.",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsiPhone 16 Pro - 256GB.,5,"The iPhone 16 Pro has been a great upgrade option for me, combining a sleek design and built for the new Apple Intelligence features due to be released.The first thing I did notice is the new display - it feels crisp, vibrant. The improved refresh rate makes everything from scrolling to gaming feel incredibly smooth.Performance-wise, the new A18 chip delivers decent speeds, effortlessly handling multitasking and demanding apps - gaming on my iPhone feels a lot smoother and the phone itself just feels a lot faster compared to my old iPhone 13 Pro Max.The battery life has also seen a decent boost, easily lasting a full day even with heavy use - I often have my phone on low power mode, and still runs decently and the battery has lasted way over 24 hours despite using it often.The camera system, always a standout feature for the Pro models, has been further refined.The improved low-light performance is actually insane to be honest, and along with the new AI-enhanced photography tools, it allows for stunning photos and videos in any condition.The new camera button on the iPhone 16 Pro is actually incredibly useful and it can be customised to open various apps - it felt a little weird at first and the button felt in the way, but I got used to it after a day or so.The only downside to be honest, is that the outer black titanium case feels plasticky oddly - I think it feels rather cheap, but I have my phone in a Spigen hybrid case, so it doesn’t bother me that much.This iPhone 16 Pro - comes with the new Apple braided USB-C cable and a sim pin.Unfortunately, and rather disappointingly - Apple has decided to remove the stickers. Sad times.Overall, the iPhone 16 Pro is a powerhouse device that pushes the boundaries of what a smartphone can do - I highly recommend the iPhone 16 Pro!",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsValue for money,5,"Great product, got it for the Mrs as a gift and she’s loved it for day1. The hold colour gives it a very unique look and the feel is really nice. Apple got this product right. The battery life is great and doesn’t weight heavy.",Not specified,Not specified,iPhone16 Pro
"1.0 out of 5 starsDon’t do it, go direct",1,"After care service, was sent defective iPhone and after care service was not helpful, it’s not a cheap phone and to get one with battery defect is not good enough I would recommend buying direct from manufacture.The product support is not good, my original review was taken down too, I had to repost again briefly",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsLove it,5,my boyfriend has he wanted an upgrade on the old iPhone this came down very quick came down in great steady packaging. The phone was absolutely perfect and absolutely fine. Love the Culla of the phone. The camera on this phone is amazing as you can hear we are an iPhone family.,Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsWorth the upgrade,5,"Very good phone. The delivery driver had to take a code on delivery to prove it’d actually been given to me which I think is very smart on Amazon’s part. It came well packaged and completely undamaged.It’s a good and fast phone was lots of storage. It’s very easy to set up from another iPhone too (takes about 10 minutes to upload data from the cloud).However, it doesn’t currently have Apple intelligence on it. Apple isn’t releasing that until around December 2024, despite Apple intelligence being the primary selling point (so probably not worth the upgrade if you already have an iPhone 15 but worth it for any below).Overall the design is sleek, the camera is next level and the action button being customisable is a nice touch.Worth the money.",Not specified,Not specified,iPhone16 Pro
Bästa mobilen,5,Supersnabb leverans. Super nöjd. Tackar,Not specified,Not specified,iPhone16 Pro
Amazon always the best,5,"Had to wait almost one month through Apple Store. Went home after visiting the store, “delivery tomorrow” via Amazon (ordered Saturday, received Sunday). What else to say, phone is of course flawless and I just wanted to praise Amazon reliability with pretty much everything.",Not specified,Not specified,iPhone16 Pro
Snabbt enkelt smidigt,5,Vad jag gillade. Beställa ena dagen leverans nästa.,Not specified,Not specified,iPhone16 Pro
Big jump from iphone 11  to this,2,"Its a good device but batteri improvement or boost that they said in presentation, it’s a LIE.  And its decieving .Good camera good screen blabla . Well it has to be. Its an 1200 dollars phone yeah?!2,5 months edit:  screen get scratches quite easily. I didnt  even put together with keys.Edit 2:  screen doesnt responded so i did hard reset and did not work either. Instead of sendikng back to amazon i went apple store, and they sent it to repair Service . Apparently hardware problem .",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsAmazing phone from Apple never disappoints.,5,"This phone is probably one of the greatest from the Apple line. The design is so great and the colour is outstanding the functionality is great and the strong outer casing feels nice in the hands. The battery life is great and lasts for hours on end and best things it’s light weight. The value for money is great because of its features, with the new camera button you can become a professional and take amazing stunning photographs. The 48 megapixel camera shows its potential in all areas and photos come out professional level. The 120 hz display is so good and feels smooth when using. Such an amazing innovation made by Apple this is one of this best phones yet. Really recommended for anyone.",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsiPhone 16 Pro - 256GB.,5,"The iPhone 16 Pro has been a great upgrade option for me, combining a sleek design and built for the new Apple Intelligence features due to be released.The first thing I did notice is the new display - it feels crisp, vibrant. The improved refresh rate makes everything from scrolling to gaming feel incredibly smooth.Performance-wise, the new A18 chip delivers decent speeds, effortlessly handling multitasking and demanding apps - gaming on my iPhone feels a lot smoother and the phone itself just feels a lot faster compared to my old iPhone 13 Pro Max.The battery life has also seen a decent boost, easily lasting a full day even with heavy use - I often have my phone on low power mode, and still runs decently and the battery has lasted way over 24 hours despite using it often.The camera system, always a standout feature for the Pro models, has been further refined.The improved low-light performance is actually insane to be honest, and along with the new AI-enhanced photography tools, it allows for stunning photos and videos in any condition.The new camera button on the iPhone 16 Pro is actually incredibly useful and it can be customised to open various apps - it felt a little weird at first and the button felt in the way, but I got used to it after a day or so.The only downside to be honest, is that the outer black titanium case feels plasticky oddly - I think it feels rather cheap, but I have my phone in a Spigen hybrid case, so it doesn’t bother me that much.This iPhone 16 Pro - comes with the new Apple braided USB-C cable and a sim pin.Unfortunately, and rather disappointingly - Apple has decided to remove the stickers. Sad times.Overall, the iPhone 16 Pro is a powerhouse device that pushes the boundaries of what a smartphone can do - I highly recommend the iPhone 16 Pro!",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsValue for money,5,"Great product, got it for the Mrs as a gift and she’s loved it for day1. The hold colour gives it a very unique look and the feel is really nice. Apple got this product right. The battery life is great and doesn’t weight heavy.",Not specified,Not specified,iPhone16 Pro
"1.0 out of 5 starsDon’t do it, go direct",1,"After care service, was sent defective iPhone and after care service was not helpful, it’s not a cheap phone and to get one with battery defect is not good enough I would recommend buying direct from manufacture.The product support is not good, my original review was taken down too, I had to repost again briefly",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsLove it,5,my boyfriend has he wanted an upgrade on the old iPhone this came down very quick came down in great steady packaging. The phone was absolutely perfect and absolutely fine. Love the Culla of the phone. The camera on this phone is amazing as you can hear we are an iPhone family.,Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsWorth the upgrade,5,"Very good phone. The delivery driver had to take a code on delivery to prove it’d actually been given to me which I think is very smart on Amazon’s part. It came well packaged and completely undamaged.It’s a good and fast phone was lots of storage. It’s very easy to set up from another iPhone too (takes about 10 minutes to upload data from the cloud).However, it doesn’t currently have Apple intelligence on it. Apple isn’t releasing that until around December 2024, despite Apple intelligence being the primary selling point (so probably not worth the upgrade if you already have an iPhone 15 but worth it for any below).Overall the design is sleek, the camera is next level and the action button being customisable is a nice touch.Worth the money.",Not specified,Not specified,iPhone16 Pro
Bästa mobilen,5,Supersnabb leverans. Super nöjd. Tackar,Not specified,Not specified,iPhone16 Pro
Amazon always the best,5,"Had to wait almost one month through Apple Store. Went home after visiting the store, “delivery tomorrow” via Amazon (ordered Saturday, received Sunday). What else to say, phone is of course flawless and I just wanted to praise Amazon reliability with pretty much everything.",Not specified,Not specified,iPhone16 Pro
Snabbt enkelt smidigt,5,Vad jag gillade. Beställa ena dagen leverans nästa.,Not specified,Not specified,iPhone16 Pro
Big jump from iphone 11  to this,2,"Its a good device but batteri improvement or boost that they said in presentation, it’s a LIE.  And its decieving .Good camera good screen blabla . Well it has to be. Its an 1200 dollars phone yeah?!2,5 months edit:  screen get scratches quite easily. I didnt  even put together with keys.Edit 2:  screen doesnt responded so i did hard reset and did not work either. Instead of sendikng back to amazon i went apple store, and they sent it to repair Service . Apparently hardware problem .",Not specified,Not specified,iPhone16 Pro
5.0 out of 5 starsAmazing phone from Apple never disappoints.,5,"This phone is probably one of the greatest from the Apple line. The design is so great and the colour is outstanding the functionality is great and the strong outer casing feels nice in the hands. The battery life is great and lasts for hours on end and best things it’s light weight. The value for money is great because of its features, with the new camera button you can become a professional and take amazing stunning photographs. The 48 megapixel camera shows its potential in all areas and photos come out professional level. The 120 hz display is so good and feels smooth when using. Such an amazing innovation made by Apple this is one of this best phones yet. Really recommended for anyone.",Not specified,Not specified,iPhone16 Pro
